concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
605771,Normal exchange of respiratory gases,Condition,SNOMED,Clinical Finding,S,1137678002,0000-00-00,0000-00-00,
606650,Musculoskeletal system normal,Condition,SNOMED,Clinical Finding,S,1145525006,0000-00-00,0000-00-00,
606770,Finding of renal function,Observation,SNOMED,Clinical Finding,S,1148582006,0000-00-00,0000-00-00,
606889,Normal digestive system function,Condition,SNOMED,Clinical Finding,S,1148790008,0000-00-00,0000-00-00,
607141,Above expected nutrient requirement,Observation,SNOMED,Clinical Finding,S,1149197005,0000-00-00,0000-00-00,
607166,Managing to control symptoms,Observation,SNOMED,Clinical Finding,S,1149243003,0000-00-00,0000-00-00,
607182,Able to perform food and/or nutrition skill with difficulty,Observation,SNOMED,Clinical Finding,S,1149289005,0000-00-00,0000-00-00,
607856,Device finding,Observation,SNOMED,Clinical Finding,S,1156072000,0000-00-00,0000-00-00,
603104,Normal respiratory system,Observation,SNOMED,Clinical Finding,S,1156330008,0000-00-00,0000-00-00,
4020346,Finding of upper limb,Condition,SNOMED,Clinical Finding,S,116307009,0000-00-00,0000-00-00,
4022922,Finding of lower limb,Condition,SNOMED,Clinical Finding,S,116312005,0000-00-00,0000-00-00,
4022571,Finding of pharynx,Condition,SNOMED,Clinical Finding,S,116338005,0000-00-00,0000-00-00,
4022569,Eating / feeding / drinking finding,Observation,SNOMED,Clinical Finding,S,116336009,0000-00-00,0000-00-00,
